time,emotion
2026-04-06 19:02:33.876470,happy
2026-04-06 19:02:36.305235,happy
2026-04-06 19:02:36.570278,neutral
2026-04-06 19:02:36.847812,neutral
2026-04-06 19:02:37.104729,neutral
2026-04-06 19:02:37.358289,neutral
2026-04-06 19:02:37.873596,neutral
2026-04-06 19:02:38.421372,neutral
2026-04-06 19:02:38.932884,happy
2026-04-06 19:02:39.437451,happy
2026-04-06 19:02:39.946074,happy
2026-04-06 19:02:40.436107,happy
2026-04-06 19:02:47.014693,happy
2026-04-06 19:02:47.628064,happy
2026-04-06 19:02:48.006694,sad
2026-04-06 19:02:48.385178,neutral
2026-04-06 19:02:48.786335,sad
2026-04-06 19:02:49.274293,sad
2026-04-06 19:02:49.755040,sad
2026-04-06 19:02:50.238604,sad
2026-04-06 19:02:50.727821,happy
2026-04-06 19:02:51.578757,happy
2026-04-06 19:02:52.062562,neutral
2026-04-06 19:02:52.566734,neutral
2026-04-06 19:02:53.076098,neutral
2026-04-06 19:02:55.372336,neutral
2026-04-06 19:02:55.781147,neutral
2026-04-06 19:02:56.108766,neutral
2026-04-06 19:02:56.507791,neutral
2026-04-06 19:02:56.901655,neutral
2026-04-06 19:02:57.313691,neutral
2026-04-06 19:02:57.679251,neutral
2026-04-06 19:02:58.139348,neutral
2026-04-06 19:02:58.634720,neutral
2026-04-06 19:02:59.149737,neutral
2026-04-06 19:02:59.643870,neutral
2026-04-06 19:03:00.147656,neutral
2026-04-06 19:03:00.636173,neutral
2026-04-06 19:03:01.165157,neutral
2026-04-06 19:03:01.631581,neutral
2026-04-06 19:03:02.115426,fear
2026-04-06 19:03:02.606049,happy
2026-04-06 19:03:03.132632,happy
2026-04-06 19:03:03.620452,happy
2026-04-06 19:03:04.116000,happy
2026-04-06 19:03:04.946840,neutral
2026-04-06 19:03:05.431944,neutral
2026-04-06 19:03:05.934544,neutral
2026-04-06 19:03:06.428299,neutral
2026-04-06 19:03:06.936038,neutral
2026-04-06 19:03:07.423486,neutral
2026-04-06 19:03:07.927772,neutral
2026-04-06 19:03:08.437036,neutral
2026-04-06 19:03:08.929941,neutral
2026-04-06 19:03:09.415551,surprise
2026-04-06 19:03:09.883677,surprise
2026-04-06 19:03:10.375622,surprise
2026-04-06 19:03:10.847499,surprise
2026-04-06 19:03:11.329071,surprise
2026-04-06 19:03:11.832710,surprise
2026-04-06 19:03:12.325279,surprise
2026-04-06 19:03:12.829738,surprise
2026-04-06 19:03:13.541758,neutral
2026-04-06 19:03:14.044477,neutral
2026-04-06 19:03:14.526623,neutral
2026-04-06 19:03:15.032668,neutral
2026-04-06 19:03:15.522720,neutral
2026-04-06 19:03:16.042540,neutral
2026-04-06 19:03:16.527500,neutral
2026-04-06 19:03:17.034772,neutral
2026-04-06 19:03:19.403951,neutral
2026-04-06 19:03:19.793914,neutral
2026-04-06 19:03:20.128433,neutral
2026-04-06 19:03:21.705890,neutral
2026-04-06 19:03:26.125319,neutral
2026-04-06 19:03:26.532956,neutral
2026-04-06 19:03:26.918281,neutral
2026-04-06 19:03:27.358256,neutral
2026-04-06 19:03:27.861673,neutral
2026-04-06 19:03:28.388666,neutral
2026-04-06 19:03:28.974152,neutral
2026-04-06 19:03:29.490658,neutral
2026-04-06 19:03:31.540456,neutral
2026-04-06 19:03:31.963822,neutral
2026-04-06 19:03:32.329792,neutral
2026-04-06 19:03:33.454667,neutral
